id,referencni_cislo,ico,nazev,adresa,datum_zverejneni,datum_uzavreni,datum_uvolneni_zakazu,stav_uzavreni,druh,zjistene_skutecnosti,stazeno
51030,P21-000077-SZPI-CZ,00561657,CONSI - veřejná obchodní společnost,"Smetanova 1056, 755 01 Vsetín",2021-10-14,2021-10-14,2021-10-21,Znovu otevřeno,Výroba,Výskyt hmyzích škůdců|Nečistoty na podlaze,2022-01-03
51029,P21-000076-SZPI-CZ,27916316,VAN DUY CAO,"Hlavní  16, 252 67 Tuchoměřice",2021-10-14,2021-10-12,2021-11-02,Znovu otevřeno,Maloobchod,Výskyt trusu hlodavců|Potraviny poškozené nebo kontaminované škůdci|Stopy po působení a výskytu hlodavců,2022-01-03
51028,P21-000075-SZPI-CZ,47151544,"Zemědělské družstvo ""Agroholding"" se sídlem v Bernarticích","Hlavní 332, 78833 Hanušovice",2021-10-11,2021-10-11,2021-11-03,Znovu otevřeno,Výroba,Výskyt trusu hlodavců|Stopy po působení a výskytu hlodavců|Výrazně zanedbaný úklid|Nečistoty na podlaze|Nečistoty na regálech či zařízeních,2022-01-03
51027,P21-000074-SZPI-CZ,28017633,DINH KHOAT DO,"Horní Folmava 8, 345 32 Česká Kubice",2021-10-08,2021-10-06,2021-10-26,Znovu otevřeno,Restaurace,Výskyt trusu hlodavců|Znečištěné kuchyňské nebo pracovní náčiní,2022-01-03
51026,P21-000073-SZPI-CZ,00685976,"BILLA, spol. s r. o.","Masarykova 2051, 58001 Havlíčkův Brod",2021-10-06,2021-10-04,2021-10-07,Znovu otevřeno,Maloobchod,"Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Výskyt plísní na stěnách|Výrazně zanedbaný úklid|Hromadění odpadů, nezajištění odvozu potravinářského odpadu|Výrazné znečištění prostor|Nečistoty na podlaze",2022-01-03
51025,P21-000072-SZPI-CZ,02890160,PROTEGO s.r.o.,"5.května 3082, 407 47 Varnsdorf",2021-09-27,2021-09-27,2021-09-30,Znovu otevřeno,Čerpací stanice,Nezajištěný přístup k tekoucí vodě|Nezajištěn přístup teplé vody pro očistu rukou,2022-01-03
41025,P21-000071-SZPI-CZ,45997489,Hanh PHAM THI,"Libušská 126/319, 142 00 Praha (budova TP 25)",2021-09-24,2021-09-23,2021-10-04,Znovu otevřeno,Restaurace,Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Výrazně zanedbaný úklid|Nevhodně skladované potraviny,2022-01-03
41023,P21-000069-SZPI-CZ,75846659,JAN TACINA,"Návsí, 739 92 Návsí",2021-09-23,2021-09-14,2021-09-23,Znovu otevřeno,Maloobchod,"Výskyt trusu hlodavců|Nezajištěný přístup k tekoucí vodě|Nezajištěn přístup teplé vody pro očistu rukou|Nezajištění odtoku odpadních vod|Výrazně zanedbaný úklid|Hromadění odpadů, nezajištění odvozu potravinářského odpadu|Nečistoty na podlaze|Nečistoty na regálech či zařízeních",2022-01-03
41024,P21-000070-SZPI-CZ,63189429,Stanislava Kufnerová,"Na Kameni 22, 55101 Jaroměř",2021-09-22,2021-09-22,2021-09-27,Znovu otevřeno,Výroba,Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Výskyt plísní na provozovně|Výskyt plísní na stěnách|Výskyt plísní na stropě|Výrazně zanedbaný úklid,2022-01-03
41022,P21-000068-SZPI-CZ,61624799,DANIEL MIKESKA,"Jamnická 90, 738 01 Staré Město",2021-09-20,2021-09-17,2021-09-22,Znovu otevřeno,Restaurace,Výskyt trusu hlodavců|Nefunkčnost nebo absence toalet|Nezajištěn přístup teplé vody pro očistu rukou|Znečištěné kuchyňské nebo pracovní náčiní|Poškození stěn,2022-01-03
